Show_Id,Category,Title,Country,Rating,Duration,Genre,Release_Day,Release_Month,Release_Year
s1,TV Show,3%,Brazil,TV-MA,4,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",14,August,2020
s2,Movie,07:19,Mexico,TV-MA,93,"Dramas, International Movies",23,December,2016
s3,Movie,23:59,Singapore,R,78,"Horror Movies, International Movies",20,December,2018
s4,Movie,9,United States,PG-13,80,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",16,November,2017
s5,Movie,21,United States,PG-13,123,Dramas,1,January,2020
s6,TV Show,46,Turkey,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries",1,July,2017
s7,Movie,122,Egypt,TV-MA,95,"Horror Movies, International Movies",1,June,2020
s8,Movie,187,United States,R,119,Dramas,1,November,2019
s9,Movie,706,India,TV-14,118,"Horror Movies, International Movies",1,April,2019
s10,Movie,1920,India,TV-MA,143,"Horror Movies, International Movies, Thrillers",15,December,2017
s11,Movie,1922,United States,TV-MA,103,"Dramas, Thrillers",20,October,2017
s12,TV Show,1983,"Poland, United States",TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",30,November,2018
s13,TV Show,1994,Mexico,TV-MA,1,"Crime TV Shows, Docuseries, International TV Shows",17,May,2019
s14,Movie,"2,215",Thailand,TV-MA,89,"Documentaries, International Movies, Sports Movies",1,March,2019
s15,Movie,3022,United States,R,91,"Independent Movies, Sci-Fi & Fantasy, Thrillers",19,March,2020
s16,Movie,Oct-01,Nigeria,TV-14,149,"Dramas, International Movies, Thrillers",1,September,2019
s17,TV Show,Feb-09,Unknown,TV-14,1,"International TV Shows, TV Dramas",20,March,2019
s18,Movie,22-Jul,"Norway, Iceland, United States",R,144,"Dramas, Thrillers",10,October,2018
s19,Movie,15-Aug,India,TV-14,124,"Comedies, Dramas, Independent Movies",29,March,2019
s20,Movie,'89,United Kingdom,TV-PG,87,Sports Movies,16,May,2018
s21,Movie,​​Kuch Bheege Alfaaz,India,TV-14,110,"Dramas, Independent Movies, International Movies",1,September,2018
s22,Movie,​Goli Soda 2,India,TV-14,128,"Action & Adventure, Dramas, International Movies",15,September,2018
s23,Movie,​Maj Rati ​​Keteki,India,TV-14,117,"Dramas, International Movies",15,September,2018
s24,Movie,​Mayurakshi,India,TV-14,100,"Dramas, International Movies",15,September,2018
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,Japan,TV-14,2,"Anime Series, International TV Shows",23,January,2020
s26,Movie,(T)ERROR,United States,NR,84,Documentaries,30,June,2016
s27,TV Show,(Un)Well,United States,TV-MA,1,Reality TV,12,August,2020
s28,Movie,#Alive,South Korea,TV-MA,99,"Horror Movies, International Movies, Thrillers",8,September,2020
s29,Movie,#AnneFrank - Parallel Stories,Italy,TV-14,95,"Documentaries, International Movies",1,July,2020
s30,TV Show,#blackAF,United States,TV-MA,1,TV Comedies,17,April,2020
s31,Movie,#cats_the_mewvie,Canada,TV-14,90,"Documentaries, International Movies",5,February,2020
s32,Movie,#FriendButMarried,Indonesia,TV-G,102,"Dramas, International Movies, Romantic Movies",21,May,2020
s33,Movie,#FriendButMarried 2,Indonesia,TV-G,104,"Dramas, International Movies, Romantic Movies",28,June,2020
s34,Movie,#realityhigh,United States,TV-14,99,Comedies,8,September,2017
s35,Movie,#Roxy,Canada,TV-14,105,"Comedies, Romantic Movies",10,April,2019
s36,Movie,#Rucker50,United States,TV-PG,56,"Documentaries, Sports Movies",1,December,2016
s37,Movie,#Selfie,Romania,TV-MA,125,"Comedies, Dramas, International Movies",1,June,2019
s38,Movie,#Selfie 69,Romania,TV-MA,119,"Comedies, Dramas, International Movies",1,June,2019
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,Unknown,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies",30,March,2019
s40,Movie,"¡Ay, mi madre!",Spain,TV-MA,81,"Comedies, International Movies",19,July,2019
s41,Movie,Çarsi Pazar,Turkey,TV-14,97,"Comedies, International Movies",10,March,2017
s42,Movie,Ég man þig,Iceland,TV-MA,106,"Horror Movies, International Movies",27,March,2018
s43,Movie,Çok Filim Hareketler Bunlar,Turkey,TV-MA,99,"Comedies, International Movies",10,March,2017
s44,Movie,Òlòtūré,Nigeria,TV-MA,107,"Dramas, International Movies",2,October,2020
s45,Movie,Æon Flux,United States,PG-13,93,"Action & Adventure, Sci-Fi & Fantasy",1,February,2018
s46,TV Show,Şubat,Turkey,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas",17,January,2017
s47,Movie,1 Chance 2 Dance,United States,TV-PG,89,"Dramas, Romantic Movies",1,July,2017
s48,Movie,1 Mile to You,United States,TV-14,105,"Dramas, Romantic Movies, Sports Movies",7,July,2017
s49,Movie,10 Days in Sun City,"South Africa, Nigeria",TV-14,87,"Comedies, International Movies, Romantic Movies",18,October,2019
s50,Movie,10 jours en or,France,TV-14,97,"Comedies, Dramas, International Movies",1,July,2017
s51,Movie,"10,000 B.C.","United States, South Africa",PG-13,109,Action & Adventure,1,June,2019
